Gene	Long_Over3Years	Short_Under3Years	estimate1	estimate2	statistic	p.value	parameter	conf.low	conf.high	method	alternative
F8	3	3	0.05555555555555555	0.0379746835443038	0.0029560628936853898	0.9566406291755523	1	-0.07223009062477356	0.10739183464727706	2-sample test for equality of proportions with continuity correction	two.sided
F8A1	3	3	0.05555555555555555	0.0379746835443038	0.0029560628936853898	0.9566406291755523	1	-0.07223009062477356	0.10739183464727706	2-sample test for equality of proportions with continuity correction	two.sided
F8A2	3	3	0.05555555555555555	0.0379746835443038	0.0029560628936853898	0.9566406291755523	1	-0.07223009062477356	0.10739183464727706	2-sample test for equality of proportions with continuity correction	two.sided
F8A3	3	3	0.05555555555555555	0.0379746835443038	0.0029560628936853898	0.9566406291755523	1	-0.07223009062477356	0.10739183464727706	2-sample test for equality of proportions with continuity correction	two.sided
F9	2	4	0.037037037037037035	0.05063291139240506	5.2770840222584945e-31	0.9999999999999994	1	-0.09700993448228612	0.06981818577155008	2-sample test for equality of proportions with continuity correction	two.sided
FAAH	0	2	0	0.02531645569620253	0.2049395092744693	0.6507630143160292	1	-0.07554402578235331	0.024911114389948242	2-sample test for equality of proportions with continuity correction	two.sided
FAAH2	2	2	0.037037037037037035	0.02531645569620253	6.418495392865267e-32	0.9999999999999998	1	-0.0611313030882691	0.08457246576993811	2-sample test for equality of proportions with continuity correction	two.sided
FABP12	6	13	0.1111111111111111	0.16455696202531644	0.37541998749804656	0.5400646318430793	1	-0.18612820284121862	0.07923650101280794	2-sample test for equality of proportions with continuity correction	two.sided
FABP3	0	2	0	0.02531645569620253	0.2049395092744693	0.6507630143160292	1	-0.07554402578235331	0.024911114389948242	2-sample test for equality of proportions with continuity correction	two.sided
FABP4	6	13	0.1111111111111111	0.16455696202531644	0.37541998749804656	0.5400646318430793	1	-0.18612820284121862	0.07923650101280794	2-sample test for equality of proportions with continuity correction	two.sided
FABP5	6	13	0.1111111111111111	0.16455696202531644	0.37541998749804656	0.5400646318430793	1	-0.18612820284121862	0.07923650101280794	2-sample test for equality of proportions with continuity correction	two.sided
FABP6	0	1	0	0.012658227848101266	1.721169655159561e-30	0.999999999999999	1	-0.04996860307530535	0.024652147379102825	2-sample test for equality of proportions with continuity correction	two.sided
