Gene	Long_Over3Years	Short_Under3Years	estimate1	estimate2	statistic	p.value	parameter	conf.low	conf.high	method	alternative	fdr
AQP11	6	9	0.111111111	0.113924051	1.74E-30	0.5	1	-1	0.091681652	2-sample test for equality of proportions with continuity correction	less	0.645660657
ARF1	6	10	0.111111111	0.126582278	4.56E-31	0.5	1	-1	0.093460014	2-sample test for equality of proportions with continuity correction	less	0.645660657
ARHGAP30	8	12	0.148148148	0.151898734	5.83E-31	0.5	1	-1	0.103609391	2-sample test for equality of proportions with continuity correction	less	0.645660657
ARHGAP39	12	18	0.222222222	0.227848101	6.15E-31	0.5	1	-1	0.121181581	2-sample test for equality of proportions with continuity correction	less	0.645660657
ARHGEF2	6	9	0.111111111	0.113924051	1.74E-30	0.5	1	-1	0.091681652	2-sample test for equality of proportions with continuity correction	less	0.645660657
ARL16	8	12	0.148148148	0.151898734	5.83E-31	0.5	1	-1	0.103609391	2-sample test for equality of proportions with continuity correction	less	0.645660657
ARPC5	6	10	0.111111111	0.126582278	4.56E-31	0.5	1	-1	0.093460014	2-sample test for equality of proportions with continuity correction	less	0.645660657
ASCL5	7	11	0.12962963	0.139240506	6.22E-31	0.5	1	-1	0.098780107	2-sample test for equality of proportions with continuity correction	less	0.645660657
ATP11B	4	6	0.074074074	0.075949367	5.87E-31	0.5	1	-1	0.07641933	2-sample test for equality of proportions with continuity correction	less	0.645660657
ATP5H	10	15	0.185185185	0.189873418	5.68E-32	0.5	1	-1	0.113261008	2-sample test for equality of proportions with continuity correction	less	0.645660657
ATP6V1G3	6	9	0.111111111	0.113924051	1.74E-30	0.5	1	-1	0.091681652	2-sample test for equality of proportions with continuity correction	less	0.645660657
AZI1	8	12	0.148148148	0.151898734	5.83E-31	0.5	1	-1	0.103609391	2-sample test for equality of proportions with continuity correction	less	0.645660657
B3GALT2	6	10	0.111111111	0.126582278	4.56E-31	0.5	1	-1	0.093460014	2-sample test for equality of proportions with continuity correction	less	0.645660657
B3GNT5	4	6	0.074074074	0.075949367	5.87E-31	0.5	1	-1	0.07641933	2-sample test for equality of proportions with continuity correction	less	0.645660657
BECN1	4	7	0.074074074	0.088607595	1.80E-30	0.5	1	-1	0.078753336	2-sample test for equality of proportions with continuity correction	less	0.645660657
BGLAP	6	9	0.111111111	0.113924051	1.74E-30	0.5	1	-1	0.091681652	2-sample test for equality of proportions with continuity correction	less	0.645660657
BLMH	11	17	0.203703704	0.215189873	6.93E-31	0.5	1	-1	0.117944414	2-sample test for equality of proportions with continuity correction	less	0.645660657
BOP1	12	18	0.222222222	0.227848101	6.15E-31	0.5	1	-1	0.121181581	2-sample test for equality of proportions with continuity correction	less	0.645660657
BROX	6	10	0.111111111	0.126582278	4.56E-31	0.5	1	-1	0.093460014	2-sample test for equality of proportions with continuity correction	less	0.645660657
C11orf86	5	8	0.092592593	0.101265823	9.98E-32	0.5	1	-1	0.085594837	2-sample test for equality of proportions with continuity correction	less	0.645660657
C17orf102	10	15	0.185185185	0.189873418	5.68E-32	0.5	1	-1	0.113261008	2-sample test for equality of proportions with continuity correction	less	0.645660657
C17orf105	4	6	0.074074074	0.075949367	5.87E-31	0.5	1	-1	0.07641933	2-sample test for equality of proportions with continuity correction	less	0.645660657
C17orf70	8	12	0.148148148	0.151898734	5.83E-31	0.5	1	-1	0.103609391	2-sample test for equality of proportions with continuity correction	less	0.645660657
C17orf75	10	15	0.185185185	0.189873418	5.68E-32	0.5	1	-1	0.113261008	2-sample test for equality of proportions with continuity correction	less	0.645660657
C17orf89	8	12	0.148148148	0.151898734	5.83E-31	0.5	1	-1	0.103609391	2-sample test for equality of proportions with continuity correction	less	0.645660657
C19orf12	3	5	0.055555556	0.063291139	1.61E-31	0.5	1	-1	0.068258421	2-sample test for equality of proportions with continuity correction	less	0.645660657
C1orf106	7	11	0.12962963	0.139240506	6.22E-31	0.5	1	-1	0.098780107	2-sample test for equality of proportions with continuity correction	less	0.645660657
C1orf110	6	9	0.111111111	0.113924051	1.74E-30	0.5	1	-1	0.091681652	2-sample test for equality of proportions with continuity correction	less	0.645660657
C1orf143	6	10	0.111111111	0.126582278	4.56E-31	0.5	1	-1	0.093460014	2-sample test for equality of proportions with continuity correction	less	0.645660657
C1orf145	6	10	0.111111111	0.126582278	4.56E-31	0.5	1	-1	0.093460014	2-sample test for equality of proportions with continuity correction	less	0.645660657
C1orf148	6	10	0.111111111	0.126582278	4.56E-31	0.5	1	-1	0.093460014	2-sample test for equality of proportions with continuity correction	less	0.645660657
C1orf21	6	10	0.111111111	0.126582278	4.56E-31	0.5	1	-1	0.093460014	2-sample test for equality of proportions with continuity correction	less	0.645660657
C1orf220	5	8	0.092592593	0.101265823	9.98E-32	0.5	1	-1	0.085594837	2-sample test for equality of proportions with continuity correction	less	0.645660657
C1ORF220	5	8	0.092592593	0.101265823	9.98E-32	0.5	1	-1	0.085594837	2-sample test for equality of proportions with continuity correction	less	0.645660657
C1orf35	6	10	0.111111111	0.126582278	4.56E-31	0.5	1	-1	0.093460014	2-sample test for equality of proportions with continuity correction	less	0.645660657
C1orf51	7	11	0.12962963	0.139240506	6.22E-31	0.5	1	-1	0.098780107	2-sample test for equality of proportions with continuity correction	less	0.645660657
C1orf54	7	11	0.12962963	0.139240506	6.22E-31	0.5	1	-1	0.098780107	2-sample test for equality of proportions with continuity correction	less	0.645660657
C1orf85	6	9	0.111111111	0.113924051	1.74E-30	0.5	1	-1	0.091681652	2-sample test for equality of proportions with continuity correction	less	0.645660657
C1orf95	6	10	0.111111111	0.126582278	4.56E-31	0.5	1	-1	0.093460014	2-sample test for equality of proportions with continuity correction	less	0.645660657
C1QTNF1	7	11	0.12962963	0.139240506	6.22E-31	0.5	1	-1	0.098780107	2-sample test for equality of proportions with continuity correction	less	0.645660657
C2CD3	3	5	0.055555556	0.063291139	1.61E-31	0.5	1	-1	0.068258421	2-sample test for equality of proportions with continuity correction	less	0.645660657
C8orf33	12	18	0.222222222	0.227848101	6.15E-31	0.5	1	-1	0.121181581	2-sample test for equality of proportions with continuity correction	less	0.645660657
C8orf82	12	18	0.222222222	0.227848101	6.15E-31	0.5	1	-1	0.121181581	2-sample test for equality of proportions with continuity correction	less	0.645660657
CA14	7	11	0.12962963	0.139240506	6.22E-31	0.5	1	-1	0.098780107	2-sample test for equality of proportions with continuity correction	less	0.645660657
CACNA1S	7	11	0.12962963	0.139240506	6.22E-31	0.5	1	-1	0.098780107	2-sample test for equality of proportions with continuity correction	less	0.645660657
CALB1	10	15	0.185185185	0.189873418	5.68E-32	0.5	1	-1	0.113261008	2-sample test for equality of proportions with continuity correction	less	0.645660657
CANT1	7	11	0.12962963	0.139240506	6.22E-31	0.5	1	-1	0.098780107	2-sample test for equality of proportions with continuity correction	less	0.645660657
CCDC137	8	12	0.148148148	0.151898734	5.83E-31	0.5	1	-1	0.103609391	2-sample test for equality of proportions with continuity correction	less	0.645660657
CCDC39	4	6	0.074074074	0.075949367	5.87E-31	0.5	1	-1	0.07641933	2-sample test for equality of proportions with continuity correction	less	0.645660657
CCDC57	8	12	0.148148148	0.151898734	5.83E-31	0.5	1	-1	0.103609391	2-sample test for equality of proportions with continuity correction	less	0.645660657
CCL1	10	15	0.185185185	0.189873418	5.68E-32	0.5	1	-1	0.113261008	2-sample test for equality of proportions with continuity correction	less	0.645660657
CCL11	10	15	0.185185185	0.189873418	5.68E-32	0.5	1	-1	0.113261008	2-sample test for equality of proportions with continuity correction	less	0.645660657
CCL13	10	15	0.185185185	0.189873418	5.68E-32	0.5	1	-1	0.113261008	2-sample test for equality of proportions with continuity correction	less	0.645660657
CCL2	10	15	0.185185185	0.189873418	5.68E-32	0.5	1	-1	0.113261008	2-sample test for equality of proportions with continuity correction	less	0.645660657
CCL7	10	15	0.185185185	0.189873418	5.68E-32	0.5	1	-1	0.113261008	2-sample test for equality of proportions with continuity correction	less	0.645660657
CCL8	10	15	0.185185185	0.189873418	5.68E-32	0.5	1	-1	0.113261008	2-sample test for equality of proportions with continuity correction	less	0.645660657
CCT3	6	9	0.111111111	0.113924051	1.74E-30	0.5	1	-1	0.091681652	2-sample test for equality of proportions with continuity correction	less	0.645660657
