Gene	Long_Over3Years	Short_Under3Years	estimate1	estimate2	statistic	p.value	parameter	conf.low	conf.high	method	alternative
TENM2	0	2	0	0.02531645569620253	0.2049395092744693	0.3253815071580146	1	-1	0.01934204791284307	2-sample test for equality of proportions with continuity correction	less
TENM3	0	3	0	0.0379746835443038	0.7290762078209336	0.19659139472775455	1	-1	0.012985235738759683	2-sample test for equality of proportions with continuity correction	less
TENM4	6	8	0.1111111111111111	0.10126582278481013	4.662483860791342e-31	0.5000000000000002	1	-1	0.10949759887573429	2-sample test for equality of proportions with continuity correction	less
TERC	5	6	0.09259259259259259	0.0759493670886076	4.704389820596542e-4	0.5086522222403267	1	-1	0.11355258726295549	2-sample test for equality of proportions with continuity correction	less
TERF1	6	16	0.1111111111111111	0.20253164556962025	1.3360838062842277	0.12386288968122618	1	-1	0.026538703960324955	2-sample test for equality of proportions with continuity correction	less
TERF2	2	1	0.037037037037037035	0.012658227848101266	0.11241615276425396	0.631295014448456	1	-1	0.08703043499848091	2-sample test for equality of proportions with continuity correction	less
TERT	2	2	0.037037037037037035	0.02531645569620253	6.418495392865267e-32	0.5000000000000001	1	-1	0.07474416947064619	2-sample test for equality of proportions with continuity correction	less
TESC	1	1	0.018518518518518517	0.012658227848101266	6.277223582924639e-31	0.5000000000000003	1	-1	0.04830840332352841	2-sample test for equality of proportions with continuity correction	less
TESK1	1	2	0.018518518518518517	0.02531645569620253	1.6537178433634486e-30	0.4999999999999995	1	-1	0.04190128250144973	2-sample test for equality of proportions with continuity correction	less
TESK2	1	2	0.018518518518518517	0.02531645569620253	1.6537178433634486e-30	0.4999999999999995	1	-1	0.04190128250144973	2-sample test for equality of proportions with continuity correction	less
TET2	1	2	0.018518518518518517	0.02531645569620253	1.6537178433634486e-30	0.4999999999999995	1	-1	0.04190128250144973	2-sample test for equality of proportions with continuity correction	less
TEX101	1	1	0.018518518518518517	0.012658227848101266	6.277223582924639e-31	0.5000000000000003	1	-1	0.04830840332352841	2-sample test for equality of proportions with continuity correction	less
TEX14	20	22	0.37037037037037035	0.27848101265822783	0.864255382451585	0.8237247067053378	1	-1	0.24373136048071886	2-sample test for equality of proportions with continuity correction	less
TEX15	3	2	0.05555555555555555	0.02531645569620253	0.19028775858532596	0.6686613867910722	1	-1	0.10476740495592446	2-sample test for equality of proportions with continuity correction	less
TEX19	7	12	0.12962962962962962	0.1518987341772152	0.011691279887482411	0.45694778396510444	1	-1	0.09364278832963516	2-sample test for equality of proportions with continuity correction	less
TEX2	19	21	0.35185185185185186	0.26582278481012656	0.7567924707237521	0.807832910764465	1	-1	0.23618999481457528	2-sample test for equality of proportions with continuity correction	less
TEX22	1	3	0.018518518518518517	0.0379746835443038	0.01644935891145784	0.44897356643693703	1	-1	0.04262727526989692	2-sample test for equality of proportions with continuity correction	less
TEX26	0	3	0	0.0379746835443038	0.7290762078209336	0.19659139472775455	1	-1	0.012985235738759683	2-sample test for equality of proportions with continuity correction	less
TEX28	3	2	0.05555555555555555	0.02531645569620253	0.19028775858532596	0.6686613867910722	1	-1	0.10476740495592446	2-sample test for equality of proportions with continuity correction	less
TEX28P1	3	2	0.05555555555555555	0.02531645569620253	0.19028775858532596	0.6686613867910722	1	-1	0.10476740495592446	2-sample test for equality of proportions with continuity correction	less
TEX28P2	3	2	0.05555555555555555	0.02531645569620253	0.19028775858532596	0.6686613867910722	1	-1	0.10476740495592446	2-sample test for equality of proportions with continuity correction	less
TEX35	5	8	0.09259259259259259	0.10126582278481013	9.97621015054558e-32	0.4999999999999999	1	-1	0.08559483663257109	2-sample test for equality of proportions with continuity correction	less
