mRNA	logFC	FDR	Short	Long	Delta
PCSK1|5122	1.109294202633593	0.0028775709142890384	32.8974358974359	75.5	36.492934922535895
ASXL3|80816	1.7383718885506034	4.8380110553193325e-4	20.91025641025641	55.907407407407405	36.349801925974795
MAEL|84944	5.076665318494845	1.4843239157386866e-16	7.051282051282051	205.4814814814815	35.79699904066878
VWA3A|146177	-1.6845481165368539	0.01172708540401612	21.17948717948718	6.981481481481482	35.67786523742157
DAND5|199699	-1.459789721950286	0.010588772176217827	24.41025641025641	8.851851851851851	35.63384141786339
CLEC4D|338339	3.610877121693626	2.0698530262761712e-7	9.564102564102564	127.20370370370371	34.5347991382493
NIPAL4|348938	1.2354459205775306	0.007503618412727028	27.897435897435898	56.629629629629626	34.46577337406034
HUS1B|135458	1.6065594639957999	0.010802082496205238	20.858974358974358	51.01851851851852	33.51118266565598
CCDC83|220047	-1.8536128461041337	0.006193192607538245	17.935897435897434	4.685185185185185	33.24620989358568
FGF5|2250	2.242339215109522	4.791241757614399e-5	14.679487179487179	114.42592592592592	32.91638976026157
HMX1|3166	-2.203431828597266	2.3476792640572623e-4	14.833333333333334	3.2962962962962963	32.684238790859446
GPR55|9290	1.214244505797416	0.0033987809477518524	26.55128205128205	63.907407407407405	32.23974835264678
NKX6-1|4825	1.3847350303290296	0.0029589654994988624	23.256410256410255	63.148148148148145	32.20396596175461
PZP|5858	8.76021070177882	2.7403114998338484e-23	3.6538461538461537	1834.111111111111	32.00846217957646
RSPO1|284654	1.0030093844788956	0.018724485082686797	31.871794871794872	66.37037037037037	31.967709356596597
TCERG1L|256536	-1.7357809135650302	0.01791691692943009	18.333333333333332	6.166666666666667	31.82265008202555
AGAP7|653268	1.3475267143280845	1.3498356681347574e-4	23.435897435897434	40.68518518518518	31.580497869124848
MYBPC2|4606	2.2798573721324105	0.006540758972914518	13.833333333333334	55.24074074074074	31.538026981165014
DSG1|1828	1.7630617960682489	0.011363239492277567	17.628205128205128	55.25925925925926	31.07961499479285
STXBP5L|9515	1.5885379620434952	0.02997517299263806	19.5	57.55555555555556	30.976490259848156
CPLX3|594855	1.8251180629670216	0.02428378295119456	16.957179487179488	57.711481481481485	30.94885457902514
TUBA3C|7278	2.961794901848983	1.1079927917858424e-4	10.41025641025641	55.7962962962963	30.83304436283813
ERVFRDE1|405754	5.441079169794902	1.8469257869550473e-20	5.666666666666667	229.96296296296296	30.83278196217111
GSTA3|2940	3.0171911028869567	0.0010243161856468023	10.115384615384615	83.85185185185185	30.52004846381806
FOXP2|93986	1.1253558937102868	0.0012051956044710052	26.82051282051282	74.72222222222223	30.18262217489641
PKHD1|5314	1.33562512081012	0.00671264065788566	21.82051282051282	61.351851851851855	29.144025072036207
IL24|11009	1.4516310801354553	0.00187020993228149	19.947051282051284	51.57222222222222	28.95575959808142
KIRREL3|84623	2.0795835300732377	1.940880078055955e-4	13.794871794871796	57.55555555555556	28.68758818408723
GJB6|10804	1.579498830791542	0.03453855952810723	18.03846153846154	50.7962962962963	28.491728909278205
TEKT4|150483	-1.2324758304399044	0.010880914605315517	22.956153846153846	10.851296296296296	28.292904775244665
CYP24A1|1591	1.9369344167392328	0.005837732756928436	14.564102564102564	79.68518518518519	28.209711505330365
C7orf57|136288	-2.3512434238441435	7.823344771654149e-4	11.884615384615385	2.611111111111111	27.94362376799386
NOL4|8715	2.1501226394411503	2.2643018782376144e-4	12.974358974358974	66.75925925925925	27.896462963005693
RPH3A|22895	1.2848642103993255	0.043893198534660505	20.91025641025641	46.81481481481482	26.866840091811536
ART4|420	1.8854213444143921	0.006347286321634573	14.128205128205128	43.388888888888886	26.637619506982823
ISX|91464	3.9485790802679084	4.055433271635637e-5	6.705128205128205	100.20370370370371	26.47572896128354
FER1L6|654463	2.114034373916475	0.0015138075978493918	12.347564102564103	82.20462962962964	26.103174946957644
AICDA|57379	6.095096893008849	2.70480069096649e-18	4.230769230769231	295.51851851851853	25.786948393498978
ICAM5|7087	-1.1500474648754402	0.034147924876979395	22.08974358974359	10.88888888888889	25.404253615133122
